City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,homer,59.6425,-151.5483,3.94,68,100,7.72,US,1675645678
420,ust-ilimsk,58.0006,102.6619,-11.6,95,100,3.4,RU,1675645917
421,lampang,18.3333,99.5,23.25,74,34,0.49,TH,1675645917
422,djambala,-2.5447,14.7533,20.98,86,99,1.63,CG,1675645918
423,tecoanapa,16.5167,-98.75,26.19,70,0,2.16,MX,1675645918
424,champerico,14.3,-91.9167,26.52,71,2,3.72,GT,1675645918
425,mercedes,-34.6515,-59.4307,24.32,39,0,3.5,AR,1675645919
426,thanh hoa,19.8,105.7667,20.4,96,100,1.89,VN,1675645919
427,mareeba,-17.0,145.4333,28.58,85,99,2.64,AU,1675645919
428,boa vista,2.8197,-60.6733,23.99,83,40,5.14,BR,1675645497
429,gashua,12.871,11.0482,23.19,19,91,4.24,NG,1675645699
430,mount pleasant,32.7941,-79.8626,13.37,98,100,0.45,US,1675645920
431,olinda,-8.0089,-34.8553,27.85,74,20,1.54,BR,1675645889
432,kailua,21.4022,-157.7394,27.99,79,29,3.13,US,1675645920
433,caruray,10.3094,119.0128,26.69,79,52,2.68,PH,1675645921
434,verkhnyaya toyma,62.2349,44.9985,-21.8,100,100,1.26,RU,1675645921
435,ormara,25.2088,64.6357,21.05,70,0,4.53,PK,1675645921
436,channel-port aux basques,47.5702,-59.1367,0.79,98,100,9.81,CA,1675645922
437,bushehr,28.9684,50.8385,16.4,48,100,0.68,IR,1675645922
438,ferme-neuve,46.7001,-75.4493,-3.49,98,100,0.66,CA,1675645922
439,acapulco,16.8634,-99.8901,27.9,69,0,3.09,MX,1675645923
440,saiha,22.4833,92.9667,10.89,52,88,1.71,IN,1675645923
441,moron,-34.6534,-58.6198,27.23,56,0,2.79,AR,1675645924
442,teseney,15.11,36.6575,20.87,55,29,3.36,ER,1675645924
443,namibe,-15.1961,12.1522,21.48,80,100,2.68,AO,1675645844
444,ixtapa,20.7,-105.2,23.57,83,0,2.06,MX,1675645925
445,thohoyandou,-22.9456,30.485,18.64,73,0,1.05,ZA,1675645925
446,kano,12.0001,8.5167,24.04,20,100,3.31,NG,1675645926
447,skibbereen,51.55,-9.2667,7.97,96,31,4.37,IE,1675645926
448,ust-kuyga,70.0167,135.6,-32.23,98,100,2.0,RU,1675645926
449,richards bay,-28.783,32.0377,22.89,87,68,1.8,ZA,1675645899
450,yeniseysk,58.4497,92.1703,-23.32,100,100,0.99,RU,1675645927
451,yar-sale,66.8333,70.8333,-27.85,100,87,0.65,RU,1675645927
452,ayan,56.45,138.1667,-21.32,75,68,3.02,RU,1675645928
453,hede,33.7681,120.2517,5.71,93,100,2.35,CN,1675645928
454,byron bay,-28.65,153.6167,29.41,53,45,3.62,AU,1675645929
455,bonthe,7.5264,-12.505,24.39,86,99,1.97,SL,1675645929
456,kodiak,57.79,-152.4072,2.73,93,100,3.6,US,1675645728
457,necochea,-38.5473,-58.7368,23.48,46,96,3.39,AR,1675645929
458,tokur,53.1333,132.9,-25.25,97,98,1.5,RU,1675645930
459,nemuro,43.3236,145.575,-2.79,74,100,1.71,JP,1675645848
460,arivonimamo,-19.0167,47.1833,17.03,92,100,1.78,MG,1675645656
461,saldanha,-33.0117,17.9442,17.85,94,0,4.26,ZA,1675645914
462,sulangan,11.1373,123.7228,26.72,79,28,4.51,PH,1675645931
463,harper,4.375,-7.7169,26.57,84,88,3.86,LR,1675645931
464,zgierz,51.8556,19.4062,-3.79,88,75,1.54,PL,1675645932
465,lasa,46.6166,10.7002,-2.21,92,49,2.69,IT,1675645909
466,badulla,6.9895,81.0557,19.22,97,100,1.73,LK,1675645932
467,codrington,-38.2667,141.9667,18.37,60,88,3.59,AU,1675645933
468,livramento,-3.0254,-60.1803,24.38,100,40,0.0,BR,1675645933
469,kargasok,59.0556,80.8572,-20.44,100,100,1.29,RU,1675645934
470,thinadhoo,0.5333,72.9333,27.07,69,79,3.72,MV,1675645934
471,oktyabrskiy,54.4815,53.471,-8.28,96,100,0.91,RU,1675645934
472,poum,-20.2333,164.0167,28.96,79,100,7.86,NC,1675645827
473,kieta,-6.2167,155.6333,27.7,76,100,1.87,PG,1675645935
474,hohhot,40.8106,111.6522,-4.02,45,11,1.43,CN,1675645727
475,tallahassee,30.4383,-84.2807,18.91,77,100,2.06,US,1675645452
476,ouesso,1.6136,16.0517,22.04,47,21,1.33,CG,1675645935
477,padang,-0.9492,100.3543,23.03,77,100,1.62,ID,1675645936
478,kokstad,-30.5472,29.4241,14.07,90,1,1.96,ZA,1675645936
479,maningrida,-12.0667,134.2667,29.19,56,100,2.15,AU,1675645906
480,sakakah,29.9697,40.2064,10.56,36,38,3.21,SA,1675645747
481,korla,41.7597,86.1469,-2.93,69,88,1.28,CN,1675645844
482,abilene,32.4487,-99.7331,18.3,42,0,4.63,US,1675645898
483,buraydah,26.326,43.975,14.84,41,32,3.46,SA,1675645754
484,bangkok,13.75,100.5167,27.18,90,34,2.54,TH,1675645917
485,posse,-14.0931,-46.3694,22.53,77,75,0.98,BR,1675645937
486,nelson bay,-32.7167,152.15,27.22,66,19,4.95,AU,1675645938
487,manaus,-3.1019,-60.025,24.28,94,40,0.0,BR,1675645209
488,ikwiriri,-7.9562,38.9716,22.86,95,100,0.94,TZ,1675645938
489,cabanas,22.9758,-82.9219,23.1,82,52,1.73,CU,1675645938
490,kyzyl-suu,42.3414,78.0056,-2.08,68,100,2.11,KG,1675645940
491,hovd,48.0056,91.6419,-16.25,76,88,1.03,MN,1675645816
492,chaman,30.9236,66.4512,7.65,62,0,2.18,PK,1675645941
493,lasem,-6.6922,111.4527,26.71,82,100,1.58,ID,1675645941
494,gilbues,-9.8317,-45.3439,25.83,59,75,0.74,BR,1675645941
495,ericeira,38.9627,-9.4156,12.72,61,38,3.08,PT,1675645942
496,ust-barguzin,53.45,108.9833,-17.27,99,99,1.1,RU,1675645942
497,menongue,-14.6585,17.691,15.86,92,100,1.43,AO,1675645943
498,jalu,29.0331,21.5482,11.79,44,100,6.04,LY,1675645943
499,sobolevo,54.4299,31.8996,-7.9,97,100,2.6,RU,1675645944
500,negresti,46.8333,27.4333,-2.06,94,99,6.42,RO,1675645944
501,hobyo,5.3505,48.5268,24.51,77,95,6.8,SO,1675645944
502,asheville,35.6009,-82.554,6.65,81,0,1.58,US,1675645933
503,rudbar,30.15,62.6,11.59,47,0,2.12,AF,1675645945
504,ubud,-8.5098,115.2654,22.62,91,100,1.53,ID,1675645945
505,norman wells,65.282,-126.8329,-29.89,100,72,0.63,CA,1675645849
506,kavaratti,10.5669,72.642,26.6,75,13,2.88,IN,1675645466
507,tadine,-21.55,167.8833,28.93,72,45,1.75,NC,1675645946
508,auki,-8.7676,160.7034,24.54,94,100,3.79,SB,1675645946
509,kiama,-34.6833,150.8667,29.1,65,0,5.36,AU,1675645691
510,kamuli,0.9472,33.1197,19.28,50,26,0.61,UG,1675645947
511,pingzhuang,42.0372,119.2889,-5.98,45,5,1.06,CN,1675645947
512,hunucma,21.0167,-89.8667,23.38,77,2,3.19,MX,1675645948
513,panama city,8.9936,-79.5197,27.99,73,20,5.14,PA,1675645589
514,bronnoysund,65.4625,12.1997,4.0,81,100,7.72,NO,1675645948
515,soyo,-6.1349,12.3689,25.78,84,87,2.2,AO,1675645949
516,sinnamary,5.3833,-52.95,24.42,87,88,5.48,GF,1675645949
517,dariba,24.95,74.1333,15.52,36,0,1.73,IN,1675645949
518,ariquemes,-9.9133,-63.0408,22.95,97,100,0.65,BR,1675645718
519,aripuana,-9.1667,-60.6333,22.75,97,98,0.47,BR,1675645950
520,psedakh,43.4672,44.5692,-1.78,89,100,2.65,RU,1675645950
521,salalah,17.0151,54.0924,20.75,64,100,1.29,OM,1675645951
522,waddan,29.1614,16.139,9.42,84,38,3.28,LY,1675645952
523,verkhnevilyuysk,63.4453,120.3167,-47.7,100,77,1.23,RU,1675645952
524,kishi,9.0833,3.85,26.79,36,100,1.91,NG,1675645952
525,dahuk,36.8695,42.994,5.74,87,100,6.31,IQ,1675645953
526,ugoofaaru,5.6667,73.0,26.65,76,100,1.11,MV,1675645953
527,plettenberg bay,-34.0527,23.3716,20.74,94,22,1.63,ZA,1675645954
528,laguna de duero,41.5815,-4.7233,3.0,82,0,8.23,ES,1675645746
529,goderich,43.7501,-81.7165,1.62,98,100,6.62,CA,1675645884
